name,z_mm,radius_um,focal_mm,count_requested,count_actual,height_max_um,gray_max,active_frac,r_px_mean,focal_mm_mean,amp_mean,amp_std,amp_p90,amp_p95,amp_p99,amp_p995,amp_p999,amp_p50,contrast_p995_over_p95,top_component_count,top_component_area_p50,top_component_area_p90,top_component_max_area,top_large_component_frac,hf_ratio,speckle_penalty,focus_structure_score,p999_over_mean
single_R200_f3p0,0.5,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7175281047821045,0.03592904657125473,0.719298243522644,0.719298243522644,0.7982456088066101,0.7982456088066101,0.9210526347160339,0.719298243522644,78947.36528396606,9,340.0,569.0,685,0.9918864097363083,0.5299065113067627,0.008113590263691739,2.9817444219066935,1.283646770875595
single_R200_f3p0,1.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.5405753254890442,0.037279196083545685,0.5462185144424438,0.5462185144424438,0.6092437505722046,0.6092437505722046,0.8907563090324402,0.542016863822937,16.000113488055383,47,1.0,133.99999999999955,526,0.9649910233393177,0.26715806126594543,0.035008976660682256,2.398347327416177,1.6477931326713748
single_R200_f3p0,1.5,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.388899028301239,0.03304601088166237,0.39344263076782227,0.39344263076782227,0.4549180269241333,0.4549180269241333,0.8565573692321777,0.3893442749977112,16.000014543550662,25,4.0,326.0,526,0.9781203381402287,0.18955591320991516,0.021879661859771304,2.9276318789937226,2.2025186665385372
single_R200_f3p0,2.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.2516080439090729,0.024268994107842445,0.2531120181083679,0.25726139545440674,0.28630706667900085,0.2987551987171173,0.30290457606315613,0.2531120181083679,11.000007182360124,17,3.0,412.00000000000006,532,0.9851851851851852,0.11596740037202835,0.009544642005928274,2.800885228896675,1.2038747702860446
single_R200_f3p0,2.5,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.12283649295568466,0.013320396654307842,0.12865497171878815,0.12865497171878815,0.14035087823867798,0.1461988240480423,0.1461988240480423,0.12280701845884323,3.9999987259507273,34,2.0,252.1999999999998,538,0.9647058823529412,0.14306135475635529,0.028051246030657888,2.5787158460702044,1.1901904762193594
single_R200_f3p0,3.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.05857112258672714,0.005336362402886152,0.05882352963089943,0.05882352963089943,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.05882352963089943,19607.845693826675,9,15.0,558.0,558,1.0,0.6671143174171448,0.0,3.0,1.3390792571645111
single_R200_f3p0,4.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.28304073214530945,0.02390419691801071,0.2890995144844055,0.29383885860443115,0.3222748935222626,0.33175355195999146,0.33175355195999146,0.28436020016670227,5.000006288299676,33,1.0,249.60000000000008,476,0.9716981132075472,0.06456608325242996,0.010151899882457538,2.9513124326702034,1.1721053342586518
single_R200_f3p0,5.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.5348755121231079,0.037097714841365814,0.5384615063667297,0.5538461208343506,0.6205127835273743,0.6205127835273743,0.8307692408561707,0.5384615063667297,5.333333333333333,73,2.0,6.0,462,0.9127416955875062,0.10868749022483826,0.05268825615482713,0.9844536001755853,1.5532011132058694
single_R200_f3p0,8.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7260397672653198,0.05086985230445862,0.7409638166427612,0.7710843682289124,0.8554217219352722,0.8554217219352722,0.9096385836601257,0.7289156317710876,2.9999971730409882,137,2.0,7.0,422,0.8676028084252758,0.13098394870758057,0.09634392750139661,0.9658939342428913,1.2528770801168976
single_R200_f3p0,10.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7220115065574646,0.0600552000105381,0.7554348111152649,0.7663043737411499,0.85326087474823,0.85326087474823,0.9130434989929199,0.72826087474823,3.2857124951430756,260,2.0,6.0,386,0.6791845493562232,0.16294996440410614,0.29042703479272614,0.5965566137049317,1.2645830304648353
