kind,domain,name,min_gray,max_gray,height_norm_mean,height_norm_std,grad_p95_um_per_um,grad_p995_um_per_um,curv_power_positive_frac,point_focus_frac_1_5mm,point_focus_frac_1_10mm,line_caustic_frac_1_5mm,median_point_focus_mm,spectral_centroid_norm,best_focus_score,best_z_mm,best_max_to_mean,best_p99_to_mean,best_p999_to_mean,best_bright_frac,best_logamp_grad_energy,amp_mean_at_best,amp_std_at_best,pc1,pc2,caustic_weight,caustic_focus_mm,caustic_radius_um,sampler_profile
dataset,mla,mla/7,90,255,0.7191545367240906,0.18564558029174805,0.08092290163040161,0.10080889612436295,0.5270454545454546,0.22457792207792207,0.23194805194805196,0.6068181818181818,1.9061052799224854,0.368683734429652,4.714227199554443,6.0,4.714227199554443,2.7590714086467143,3.50604376047003,0.04344155844155844,0.06847833842039108,0.8577038049697876,0.5033189654350281,-10.600348472595215,-1.787625789642334,,,,
dataset,mla,mla/8,90,169,0.5789851546287537,0.06047865375876427,0.026201516389846802,0.03263808786869049,0.525,0.07850649350649351,0.20464285714285715,0.3518831168831169,5.833861827850342,0.36834585429825295,4.5557050704956055,12.0,4.5557050704956055,2.445258851875897,3.017948153725297,0.03873376623376623,0.05984076112508774,0.872479259967804,0.46197813749313354,2.4053215980529785,-4.10211181640625,,,,
dataset,mla,mla/9,90,166,0.569981038570404,0.058584064245224,0.02533336728811264,0.03163091093301773,0.5225324675324675,0.07155844155844156,0.2003896103896104,0.33844155844155843,6.015956401824951,0.37126611569586215,4.050070285797119,15.0,4.050070285797119,2.4575692459155554,3.042373237331146,0.03785714285714286,0.059987522661685944,0.868419885635376,0.4623015820980072,2.7446022033691406,-4.153260231018066,,,,
dataset,mla,mla/10,90,255,0.7579540014266968,0.16154570877552032,0.0711146667599678,0.08955705910921097,0.5234415584415585,0.22123376623376623,0.23266233766233765,0.6336363636363637,2.190145969390869,0.3660758542316687,3.6834969520568848,15.0,3.6834969520568848,2.436629781461649,2.930469627385719,0.03811688311688312,0.05808417126536369,0.870356023311615,0.4589165151119232,-8.552181243896484,-2.4681453704833984,,,,
dataset,mla,mla/11,90,255,0.78819739818573,0.1407841593027115,0.06117132306098938,0.07785159349441528,0.5226298701298702,0.21642857142857144,0.23282467532467532,0.6333766233766234,2.496394395828247,0.36791686957797515,4.140271186828613,12.0,4.140271186828613,2.5013794097862982,3.1174433429501245,0.03944805194805195,0.06080261245369911,0.8689149618148804,0.4679340422153473,-6.688817024230957,-2.7233762741088867,,,,
dataset,mla,mla/12,90,161,0.5514135956764221,0.05701623484492302,0.024696484208106995,0.03092307038605213,0.5248701298701298,0.06435064935064935,0.20126623376623376,0.3260064935064935,6.160428524017334,0.371599831199751,4.277642726898193,15.0,4.277642726898193,2.4438687754130313,3.032945359627578,0.0376948051948052,0.059130191802978516,0.870010256767273,0.4602237641811371,2.8841729164123535,-4.1852898597717285,,,,
dataset,mla,mla/13,90,219,0.7433514595031738,0.07781125605106354,0.033847417682409286,0.04289470985531807,0.5216558441558442,0.14068181818181819,0.22071428571428572,0.4685714285714286,4.533313274383545,0.36867718763425905,4.085695743560791,20.0,4.085695743560791,2.4455079701545728,3.014919133520916,0.037792207792207794,0.057596221566200256,0.8657238483428955,0.45763376355171204,0.04429962858557701,-3.9953832626342773,,,,
dataset,mla,mla/14,90,255,0.8610260486602783,0.092299684882164,0.03995785862207413,0.04886215180158615,0.5235714285714286,0.17477272727272727,0.22795454545454547,0.5316883116883117,3.791595220565796,0.3716828839957872,5.691677093505859,12.0,5.691677093505859,2.7825424774169365,3.568541887229433,0.043376623376623374,0.06210341304540634,0.8523786067962646,0.4977305829524994,-1.7924166917800903,-3.8019962310791016,,,,
dataset,mla,mla/15,90,255,0.6624637842178345,0.22102844715118408,0.09580178558826447,0.11592840403318405,0.5222727272727272,0.21412337662337663,0.2187987012987013,0.5179220779220779,1.586066722869873,0.3674272964587868,4.51968240737915,15.0,4.51968240737915,2.510971493581698,3.139662753929439,0.03837662337662338,0.05899157002568245,0.8678113222122192,0.46450018882751465,-13.150272369384766,-0.9904630780220032,,,,
dataset,mla,mla/16,90,255,0.6597314476966858,0.22300080955028534,0.09621448814868927,0.11477605998516083,0.5238961038961039,0.21324675324675324,0.2174025974025974,0.5166233766233767,1.5694384574890137,0.36537651620793804,4.227679252624512,10.0,4.227679252624512,2.58695001134054,3.2775142967874342,0.041428571428571426,0.0617753267288208,0.8661708831787109,0.47699058055877686,-13.43290901184082,-1.021012544631958,,,,
