active_frac,amp_mean,amp_p50,amp_p90,amp_p95,amp_p99,amp_p995,amp_p999,amp_std,best_focus_structure_score,best_z_mm,contrast_p995_over_p95,expected_fl_mm,family,focus_structure_score,gray_max_active,gray_max_all,gray_mean_active,gray_mean_all,gray_median_active,gray_min_active,gray_min_all,gray_q01_active,gray_q05_active,gray_q95_active,height_max_um,height_mode,hf_ratio,max_gray_used,min_gray_used,name,speckle_penalty,top_component_area_p50,top_component_area_p90,top_component_count,top_component_max_area,top_large_component_frac,z_mm
0.9999996753246754,0.4486512839794159,0.3502304255962372,0.824884831905365,0.8571428656578064,0.8986175060272217,0.9124423861503601,0.9308755993843079,0.27162328362464905,0.0,1.0,1.1090908727468536,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,0.047453973442316055,255,0,reference_mla_3mm,0.26363318579064476,1.0,1.0,943,4,0.0,1.0
0.9999996753246754,0.15230204164981842,0.08173077553510666,0.38942307233810425,0.634615421295166,0.8605769276618958,0.8894230723381042,0.9278846383094788,0.1851036548614502,0.0,1.0,1.4608694652618723,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,0.04883816838264465,255,0,reference_mla_3mm,0.2713231576813592,1.0,1.0,872,3,0.0,2.0
0.9999996753246754,0.04121297225356102,0.021897809579968452,0.0656934306025505,0.10948904603719711,0.42335763573646545,0.6131386756896973,0.8029196858406067,0.07273375242948532,0.0,1.0,6.750000228600898,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,1.492902159690857,255,0,reference_mla_3mm,1.0,1.0,2.0,843,2,0.0,3.0
0.9999996753246754,0.12443866580724716,0.06880734115839005,0.3027523159980774,0.44495412707328796,0.7201834917068481,0.8165137767791748,0.9311926364898682,0.1414358764886856,0.0,1.0,1.9878049304665628,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,0.0938318520784378,255,0,reference_mla_3mm,0.5212880671024323,1.0,1.0,897,2,0.0,4.0
0.9999996753246754,0.3187471330165863,0.25471699237823486,0.6273584961891174,0.7075471878051758,0.8113207817077637,0.8443396091461182,0.900943398475647,0.1900448501110077,0.0,1.0,1.3020832592931897,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,0.08464670181274414,255,0,reference_mla_3mm,0.47025945451524526,1.0,2.0,827,3,0.0,5.0
0.9999996753246754,0.4265036880970001,0.41040462255477905,0.6011560559272766,0.6589595079421997,0.7572254538536072,0.791907548904419,0.8554913401603699,0.1276106834411621,0.0,1.0,1.5348840388109617,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,4.283976078033447,255,0,reference_mla_3mm,1.0,1.0,1.0,948,4,0.0,8.0
0.9999996753246754,0.3594733774662018,0.34375,0.53125,0.59375,0.7083333730697632,0.75,0.8333333730697632,0.12611211836338043,0.0,1.0,1.625,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,23.89710235595703,255,0,reference_mla_3mm,1.0,1.0,1.0,955,2,0.0,12.0
0.9999996753246754,0.3050699532032013,0.2871287167072296,0.46039605140686035,0.5198019742965698,0.6287128329277039,0.6732673645019531,0.7623762488365173,0.11453090608119965,0.0,1.0,1.6595746833795748,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,direct255,46.50783157348633,255,0,reference_mla_3mm,1.0,1.0,1.0,889,3,0.0,20.0
0.9999996753246754,0.04974069446325302,0.03614457696676254,0.0602409653365612,0.09638554602861404,0.4397590458393097,0.6265060305595398,0.8373494148254395,0.07206057012081146,0.05793629808570948,3.0,9.799999282658161,3.0,mla,0.0,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,offset90,2.7765278816223145,130,90,reference_mla_3mm,1.0,1.0,2.0,862,2,0.0,1.0
0.9999996753246754,0.5671334862709045,0.5600000023841858,0.6800000071525574,0.7200000286102295,0.7919999957084656,0.8240000009536743,0.8799999952316284,0.090576171875,0.05793629808570948,3.0,1.6499997206032735,3.0,mla,0.001349502075839741,130,130,113.49893035679557,113.4988935064935,114.0,1,0,86.0,95.0,128.0,7.647058963775635,offset90,1.602257251739502,130,90,reference_mla_3mm,0.9916926272066459,1.0,2.0,718,8,0.008307372793354102,2.0
